"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_fundo_acum";"ret_cdi_acum";"janela";"meses";"cobertura_ok";"ret_fundo_aa";"ret_cdi_aa";"excesso_cdi_aa";"percentual_cdi"
"Bocom BBM Corporate Credit II FIF RF CP RL";"Bocom BBM Corporate Credit II";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2023-07-03";"2026-06-30";"752";"0,4813233279962970";"0,4374821021799329";"36 meses";"36";TRUE;"0,1399433972091984";"0,128584674955896";"1,00645724732584e-02";"1,088336516441003"
"Capitânia Premium 45 FIC de FIF RF CP LP RL";"Capitânia Premium 45";"CAPITÂNIA PREMIUM 45 RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0055";"2025-12-31";"2026-06-30";"123";"0,0173395746219931";"0,0690511803661034";"6 meses";"6";TRUE;"0,0349798100920578";"0,142870426242159";"-9,44031918866368e-02";"0,244835904897271"
"Capitânia Premium 45 FIC de FIF RF CP LP RL";"Capitânia Premium 45";"CAPITÂNIA PREMIUM 45 RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0055";"2025-07-01";"2026-06-30";"252";"0,0807278377345875";"0,1478274521113714";"12 meses";"12";TRUE;"0,0807278377345875";"0,147827452111371";"-5,84579278473933e-02";"0,546095035675567"
"Capitânia Premium 45 FIC de FIF RF CP LP RL";"Capitânia Premium 45";"CAPITÂNIA PREMIUM 45 RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0055";"2024-07-01";"2026-06-30";"503";"0,1949704224918460";"0,2870100168583818";"24 meses";"24";TRUE;"0,0931470269327206";"0,134464638875263";"-3,64203612229873e-02";"0,692725074129926"
"Capitânia Premium 45 FIC de FIF RF CP LP RL";"Capitânia Premium 45";"CAPITÂNIA PREMIUM 45 RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0055";"2023-07-03";"2026-06-30";"752";"0,3360436277331162";"0,4374821021799329";"36 meses";"36";TRUE;"0,1013876778008249";"0,128584674955896";"-2,40983222248111e-02";"0,788489591279836"
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"2025-12-31";"2026-06-30";"123";"0,0769064512016888";"0,0690511803661034";"6 meses";"6";TRUE;"0,1597275046398154";"0,142870426242159";"1,47497721619099e-02";"1,117988577769653"
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1522423875951673";"0,1478274521113714";"12 meses";"12";TRUE;"0,1522423875951673";"0,147827452111371";"3,84634073324763e-03";"1,029865464233732"
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"2024-07-01";"2026-06-30";"503";"0,3053571168962952";"0,2870100168583818";"24 meses";"24";TRUE;"0,1425222610068897";"0,134464638875263";"7,10257671813785e-03";"1,059923725665161"
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"2023-07-03";"2026-06-30";"752";"0,5107421904182206";"0,4374821021799329";"36 meses";"36";TRUE;"0,1474403537534346";"0,128584674955896";"1,67073673920617e-02";"1,146640171575704"
"Daycoval Classic 30 FIRF CP";"Daycoval Classic 30";"DAYCOVAL CLASSIC 30 FIF";"0,0040";"2025-12-31";"2026-06-30";"123";"0,0718516413102557";"0,0690511803661034";"6 meses";"6";TRUE;"0,1488659409794890";"0,142870426242159";"5,24601442093831e-03";"1,041964701128335"
